ACCOUNT,GRADE
EBE5ACE874DCE79C72D0B1EE2B55FA84,2
7EAE05016105B1683942FF8F5966B792,2
7D8F934C6DEF419F348387E892582436,2
3A13290E4E466892A0A34D3AABCA5DCC,3
3465E54F335F7846DEAFFBFA3DC34566,1
DACEAD8BBDCE3A96253A8DB2DB1EE0BB,1
7AF8A2483E4BD0D9311A50AA5CDAF4FB,2
A2244AF7338E4053F4CC54EA84306E07,2
0ACFA1AF84366264D798756A2E380D19,2
E45DE001D02A774960DF10507D5865D7,2
DA1B4C037E152A3FF85D771C5EBED929,2
FD43423887269E40280A324E6CCE54FA,2
B93EA0BFA481190738E6924D973ACD64,1
1A520376997627621BD5C6BEDCAAAD7C,2
C69493379B721DA4CD0FD7FAE00F4EED,2
5DFBBD5B33FCB32379CFC2700393A478,2
9B7F83BA169E61F73A8F40E1E1D44E4D,2
B1FA725595457C2D72F5ED1049C562F9,3
407497E9CC17D848C38FC57FB587470E,2
10976AAA2D02A00F792C33C29682B941,2
7FF1F2BC8AF5904FF0C4D777F5B157FF,1
9847C44D1A1C19F4C4024788D2C18607,1
40A038F9209853371B2433E6F707A5F0,1
D45BDEE0D74F86B6B44B1D44A2F4CDD0,1
5B298F7E2500E6EC75D0F4BAFD290306,2
EC2D5AE9185636BD60239B4C52D53210,2
821436C1CDFA7DE5B7CCE0B09DC2D686,2
8B75C7101648CC67F5AC4AA14F45BB89,2
3430E1793253F9B7D8AD4A998D48BCB2,1
8D716EB517B8FB13E601B38DC51EB9BC,2
9FBEB472BEE9E7D3E662863ADD69AC2C,2
E5107F09B8B948FDA4D8F0A23C9E3E35,2
36606194A23F962D4CCC4C6B57FA26D7,2
972E1E167A91452A96F6697D0D523C61,3
A63BF34655514CBCC5AF116FFC28827C,2
07EB1E4B7BF5F7FC91A7F5FC06003AEA,1
3412545209AA54DBBF26612859EF315F,1
A29E119E50BC481682AC956308324EA1,3
2AF5DE297A971DF44CC79545E0066899,3
46F8E88B6E2E7884B274576553085273,2
2F37167199FA7474DC2906A5A3719BB4,3
9801E98BC66CCDFA0B39518C441692C7,2
0AA90E6E949D04D631224B11955DE610,2
0EF813D62F623579CE0F8BA4AFCF63C2,3
0269DFDC964101E4BDA097EAD1C17B86,2
9F8706F7786D81296D5C7C947D94BE7E,2
DB7333BE4626AE07F49DD6EF4FDA0D30,2
FA94F54EE7B1D068A601764F660C87EF,2
67B4024C485B8DB4F4AB7BA9D7AD928D,2
38B1B88D7A3A226EB90A83E51CD1C082,1
E0BF1DB28A4576FA95754A482949BA85,2
AFA249B488E49AB56847778960C728E5,2
BB32E0AE44B5C577DCFF555F840ACAE8,2
F3F1E01B2ADF1E7239375F0587CFD1A3,3
FEEFC0F55C48A53AFDFDD863F5DCC2DA,2
BDC923D757DD904BF32CD22A5F2DCC95,2
BED141E902484D7B9783E0C3402F68FD,2
DD0890E6A5747EE0126E5BF36E0698DD,2
F7534D0143F5235D98754CFBE17E1B7C,2
19FD726F3C29662A8D532A4A9265CE34,2
EDDFF0075C6B8FF91C57C91B6E3FA802,2
F3F88F5F45BB21650708591A102D2A3E,2
A06500F2E82CC00C31E5CB606A4D5730,2
FA7DFA7170C47E14EA20D573BEB13063,2
1EB532A382A8A966AE2F6AA7791942F6,2
2753CBCC81356451DD347CED9480D432,2
56B6CD13EED3FD45D1A6D7FAF3C0A21B,2
6481619337A81C5C6A0F6A009E8297E2,2
B7352E7508B85BBF92268B9249E9B421,1
891845A45F5D91EA2F33585415D77FC9,3
E9541A934CD46AE8DCEB1991A9C6BAFB,3
3DF3772BB8FD37AABC7888CB6CD0633E,2
FA868CD44FEAA4BD219872607CD893DA,2
7EF45FFBF297963C7E5BC8510C92F352,2
D0D29C39760BB9EB628342EB4C035A83,2
564E9DA6F0F2E174DF9E3314B268CC5B,2
82A6E73222DFB9D71348928FCF1F82C3,2
B66F9A63C5C0B79371F3D53A96DE9142,3
39A10BCBFCABAE7EB6FD4741F4C8C3DC,2
E4C5A5475FACC0D6E7D49062FB2E98DA,2
7F11115D91DB8B5179742945424107BE,2
8E6516895ADBF1583AB972120E48EA47,1
FCADC699445F8CC31F7629AF87E52999,1
AA154D56E6A9784D996A57015B848C4C,3
517FFDFB79B41B9A62C63CADF4DAB6E7,2
163D9368E6E64A4C7606C20CB20C1B26,3
52A210A966E7C09C02D23888A0FE23DC,1
D5576E44CF7F03160ABAC4C048D3499E,2
E2ADF9498D28E7C71F9345673E3BE116,2
29CF50DC67FCFF5C3C41F4C82735FD17,2
87D6A1850C7A01633C6DB14EF6A6AC62,2
AFCD9ED153D421A3FA2A5FE4DED150DB,2
60CAFADF995FD726C257D38A73E3B719,2
3989D174FC5A9C8F61B4A48318DF7AE9,2
AE5326270C782C156C2CF95F5A18C363,2
5DE0CC721921B3E733FE39F458236436,2
4F3D3AA237C189759AE8EC4C10C00577,2
C211BC8BCB9AAC0171EFB6A39488CCFD,2
C719EBFBA7E3C9B57C2A8CBED1E28004,1
4498D70074E34C02A86F1AD827D8B7AC,2
C7BDFD1CCD4F33776C33AC2F99F7F3DA,2
ABF1B242D76670EC17E96F56C8DC394A,2
C133C393A0FEF6FB3417E65BC3B6292C,2
DF4C909BED3AB9F0C2B9A74CC2ADE4C5,1
70E634CABE37337E13399E8DB1C1D619,2
350F1ECBD527FC766087DC585672DCB1,2
944E3FDF14DE5DFD1611B86B00C608AA,2
14BC030F5BB0B3858205D604BEFAE64C,1
1E5C8F7FE5F952D9C40EBC11B4DC1553,2
8FA32A0EF479E03686F5E96D241B473A,2
04A6A8D134AB6D7B081C1DABCDF334B3,2
AA1501A1384C2B4D4C716CC3C11D185C,3
E351447D0761CC176A3B6D78BE24AAF8,2
5C5EAABD99563AC9BBBADCC0F1BD0BCF,2
3445D0D4AEAC9C18D437B3A5FDED95B3,3
0C8B61D125FA07249F32C3EFB4696059,2
852691462B7A459044B8F9EC6E20928B,1
40710440C55FB0131B439168FDC9FDED,2
6A9AA8B5343D106125E64C61BF952E38,2
CF691D0A2160BFAE06C8DB53583EC868,2
6A21D4AB542F21FD9C4E8437BB5D7124,2
E231E22147142D61F9101FD0A0EFD9A2,2
648C5D22822FBA7313F121D39FF9FE09,2
491E759CB0AB0347A215F91D196C1227,1
6D0C934926A0667376FCE2706260B151,2
327A465871B4BED1F1E79F5392BFD167,1
F032A19370C91498D71DA3763D97B54E,2
A4DF9A49F60F3B70F444CDA728F4103E,2
64F280D97E2CB6A464DB216555B3EA56,2
B856FDAA341E6528A7C4E317125FF670,1
F245BA5A6E18CF01F4723E3A553C87BE,1
0F1FC6CD5D900C409406F62B049CD514,3
